wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,470,6.57,3.1,20,26,21.096,7.72,20,2,3,2,4,1
1,472,6.33,5.58,51,34,18.026,3.06,11,1,5,2,1,1
1,473,6.02,3.33,28,27,21.19,1.98,16,1,5,1,4,1
1,474,6.36,7.17,29,32,20.285,4.04,13,2,5,1,2,1
1,475,6.29,3.14,24,30,24.655,6.89,18,2,5,2,1,1
1,477,6.45,4.08,8,26,26.564,7.89,24,2,3,2,1,1
1,478,10.15,8.39,49,23,16.797,5.93,18,1,5,1,4,0
1,479,7.02,7.01,74,30,21.208,5.17,14,2,3,1,6,1
1,481,9.12,4.65,39,34,17.715,1.92,13,2,5,2,6,1
1,483,7.04,4.43,28,25,25.778,3.39,14,1,5,2,1,1
1,484,7.75,6.23,37,24,22.06,3.4,11,2,5,2,1,1
1,485,7.32,5.62,24,25,18.29,4.66,8,2,5,1,4,1
1,486,7.11,5.68,27,32,23.233,2.2,14,1,5,2,2,1
1,487,6.57,0.05,47,27,20.69,5.79,17,2,3,2,4,1
1,488,4.47,4.4,38,29,19.234,13.65,19,1,5,1,1,1
1,489,8.97,11.1,55,34,28.999,6.25,20,2,5,1,1,1
1,490,7.02,5.08,40,33,22.769,5.27,14,2,3,1,4,1
1,491,6.61,6.05,38,28,17.778,7.91,23,1,5,1,4,1
1,492,7.97,4.99,52,34,19.76,4.15,17,2,5,2,1,0
1,493,4.82,6.22,51,31,18.314,5.66,13,1,5,1,2,0
1,494,6.09,5.9,14,29,18.871,3.97,22,1,5,2,1,0
